state,state_name,county,mentally_unhealthy_days,physically_unhealthy_days,pct_frequent_mental_distress,pct_excessive_drinking,injury_death_rate,age_adjusted_mortality,pct_frequent_physical_distress,pct_smokers,pct_insufficient_sleep,preventable_hospitalization_rate,pct_some_college,pct_fair_or_poor_health,pct_unemployed,length_of_life_pctile_within_state,median_household_income,pct_physically_inactive,length_of_life_quartile_within_state,pct_children_in_poverty,income_20th_percentile,pct_children_eligible_free_lunch,pct_diabetic,drug_overdose_mortality_rate
AL,Alabama,Chilton,4.6,4.6,14.3,14.0,86.38341438,534.1,14.1,21.2,38.9,73.79,39.43114031,20.8,6.281052246000001,60.0,41450.0,32.0,3.0,27.6,18689.0,56.37478794,11.8,12.14873084
AL,Alabama,Choctaw,4.8,4.9,14.6,11.2,105.10488590000001,522.1,15.0,19.0,42.5,68.25,49.06832298,25.4,9.064523331,95.0,35049.0,33.8,4.0,31.9,12705.0,74.31725741,15.7,14.440615446578569
AL,Alabama,Clarke,4.9,5.3,15.5,11.0,84.41852829999999,464.5,16.3,21.2,38.9,62.25,42.05847153,25.8,11.784425742500002,48.0,36620.0,30.2,2.0,33.7,10695.0,63.09650053,15.5,14.440615446578569
AL,Alabama,Clay,4.8,5.0,14.8,12.3,64.02700776,465.7,15.4,20.4,36.1,98.55,42.78300357,23.1,7.216305545,14.0,35940.0,36.2,1.0,28.9,14622.0,55.05921304245098,13.5,14.440615446578569
AL,Alabama,Cleburne,4.4,4.3,13.2,14.2,95.23681775,531.7,13.0,18.5,32.8,63.52,49.53612595,18.1,6.714087439,62.0,40418.0,33.2,3.0,24.8,14953.0,49.86866792,11.0,14.440615446578569
AL,Alabama,Coffee,4.6,4.8,13.9,13.4,55.53263732,381.8,14.7,19.3,35.4,59.09,59.51766355,20.8,6.683817345,5.0,46931.0,29.4,1.0,25.0,18003.0,42.29231933,12.3,7.838065565
AL,Alabama,Colbert,4.8,4.8,14.3,13.4,69.40058458,490.4,14.2,18.5,35.9,72.58,57.02134241,21.4,8.207028648,44.0,43057.0,29.7,2.0,25.3,16762.0,46.33641675,13.4,14.440615446578569
AL,Alabama,Conecuh,5.3,5.8,17.1,10.3,97.74723177,542.6,18.45,23.8,41.2,116.2825,37.46741155,30.750000000000004,10.73666019,81.0,29101.0,33.5,4.0,41.2,10693.0,82.90754258,16.85,14.440615446578569
AL,Alabama,Coosa,4.9,5.1,15.4,12.3,100.8536541,512.1,15.9,21.8,39.0,75.85,41.41069397,24.7,8.840909091,51.0,34679.0,30.8,2.0,29.0,13742.0,55.05921304245098,15.6,14.440615446578569
AL,Alabama,Covington,4.8,4.8,14.5,13.1,64.443881,470.8,14.7,19.9,35.5,104.98,52.01342282,21.4,7.761080464,32.0,36149.0,35.5,2.0,30.2,15728.0,50.33686237,12.9,14.440615446578569
AL,Alabama,Crenshaw,4.7,4.9,14.5,12.8,78.67257903,445.5,14.9,20.4,39.3,76.08,41.98542805,23.3,6.950672646,24.0,34445.0,31.6,1.0,28.0,14480.0,55.05921304245098,13.8,14.440615446578569
AL,Alabama,Cullman,4.7,4.5,14.1,14.3,73.28391431,463.0,13.8,20.1,34.9,56.61,57.23589744,19.8,6.0969078560000005,30.0,39922.0,28.4,2.0,23.5,16728.0,52.03854707,11.5,23.91358127
AL,Alabama,Dale,4.6,4.5,13.9,13.7,65.47507356,438.9,14.0,20.2,40.8,50.08,61.84428078,21.1,7.1530126979999995,12.0,41940.0,27.8,1.0,33.5,16151.0,55.05921304245098,12.0,10.68005233
AL,Alabama,Dallas,5.4,5.8,17.1,9.7,81.10450431,599.1,18.45,25.4,43.7,72.55,42.85270997,30.0,11.56410745,90.0,26602.0,34.2,4.0,47.75,9864.0,81.02537679,16.85,7.900703953
AL,Alabama,DeKalb,4.7,4.8,14.6,12.7,91.71705009,481.0,14.9,19.2,36.3,76.91,42.98851856,22.8,6.941196999,36.0,36241.0,32.4,2.0,36.5,16205.0,61.68715557,11.5,19.70369397
AL,Alabama,Elmore,4.3,4.2,12.7,15.0,71.81678961,408.0,12.3,19.3,34.0,69.08,54.66714906,18.2,5.772243754,11.0,54298.0,29.7,1.0,20.7,24491.0,44.3391937,10.5,6.185362957000001
AL,Alabama,Escambia,5.0,5.2,16.2,12.5,106.4834243,551.9,16.6,22.7,38.7,94.08,40.34214619,26.5,8.221783852,65.0,37077.0,33.4,3.0,31.6,12292.0,63.62532524,15.4,30.78005453
AL,Alabama,Etowah,5.1,5.0,15.0,12.9,73.66270538,546.4,15.3,22.3,39.9,82.32,52.20488598,22.8,7.028775988,74.0,39904.0,32.5,3.0,29.5,16203.0,51.30752819,13.0,14.75049222
AL,Alabama,Fayette,4.7,4.9,14.8,12.6,98.10218978,534.3,15.0,20.5,36.8,100.54,45.55526246,22.2,7.896831715,54.0,35664.0,30.5,3.0,29.2,13483.0,48.393739700000005,13.4,14.440615446578569
AL,Alabama,Franklin,4.8,5.1,15.0,12.6,118.00340759999999,575.9,15.8,19.7,37.7,96.62,42.5111221,23.2,7.792683821000001,92.0,33881.0,34.8,4.0,35.5,15565.0,58.02728227,12.3,24.23757034
AL,Alabama,Geneva,4.8,4.9,14.9,13.0,85.14960936,463.7,15.1,21.9,35.8,83.76,47.66311167,22.0,6.742094037,21.0,34425.0,30.5,1.0,36.4,15430.0,57.8502115,13.1,14.440615446578569
AL,Alabama,Greene,5.449999999999999,5.8,17.1,8.6,78.18084346,540.8,18.45,26.5,44.349999999999994,104.79,41.95402299,30.750000000000004,11.784425742500002,86.0,26504.0,33.1,4.0,45.7,10323.0,55.05921304245098,16.85,14.440615446578569
AL,Alabama,Hale,5.1,5.6,16.8,10.1,69.23076923,514.7,18.0,21.8,43.0,82.09,48.82962963,29.2,9.801367633,41.0,33315.0,35.3,2.0,36.8,11630.0,70.56352818,16.85,14.440615446578569
AL,Alabama,Henry,4.4,4.4,13.5,12.6,71.64317079,455.5,13.4,17.5,36.8,45.86,59.06242166,20.6,7.4422709220000005,33.0,39930.0,28.8,2.0,27.4,15556.0,55.05921304245098,14.0,14.440615446578569
AL,Alabama,Houston,4.5,4.7,14.2,13.5,64.51789492,422.8,14.6,19.4,38.0,54.71,55.67834647,21.1,6.80956417,20.0,40124.0,30.5,1.0,31.1,16939.0,56.69366669,12.9,13.81468405
AL,Alabama,Jackson,4.7,4.9,14.6,13.4,93.62697359,544.1,15.0,20.2,35.0,103.18,43.69628637,20.7,7.208444178,80.0,36923.0,32.0,4.0,28.8,15623.0,49.92249911,12.5,14.49869197
AL,Alabama,Jefferson,4.5,4.5,14.1,14.5,76.38091042,481.3,14.0,16.8,40.5,47.29,66.40474501,19.1,6.3085048729999995,50.0,44852.0,28.3,2.0,29.4,17669.0,55.05921304245098,12.5,17.32077417
AL,Alabama,Lamar,4.8,5.0,14.8,12.1,90.20386073,514.9,15.3,21.4,35.8,84.81,50.16722408,22.3,7.138994051,35.0,34553.0,33.1,2.0,28.3,14848.0,49.95798319,13.4,14.440615446578569
AL,Alabama,Lauderdale,4.6,4.5,14.0,13.6,67.11916349,436.6,13.8,18.9,37.2,61.34,59.2429701,19.2,7.180575092000001,23.0,41324.0,29.6,1.0,26.3,16304.0,44.68733338,11.6,5.746404008
AL,Alabama,Lawrence,4.6,4.7,14.3,13.8,110.4608804,511.7,14.3,20.3,35.6,72.93,51.36125015,19.8,8.242779525,75.0,41574.0,34.9,3.0,23.2,17785.0,49.25343811,12.4,9.910606331
